iter	Passed	Remaining
471	693	775
472	694	773
473	695	771
474	696	770
475	698	768
476	699	766
477	700	764
478	701	763
479	702	761
480	703	759
481	704	757
482	705	755
483	707	753
484	708	751
485	709	750
486	710	748
487	711	746
488	712	744
489	714	743
490	715	741
491	716	739
492	717	737
493	718	735
494	719	734
495	720	732
496	721	730
497	722	728
498	723	726
499	724	724
500	725	722
501	726	721
502	728	719
503	729	717
504	730	715
505	731	713
506	732	711
507	733	710
508	734	708
509	735	707
510	736	705
511	737	703
512	739	702
513	740	700
514	742	699
515	743	697
516	744	695
517	745	693
518	746	691
519	747	690
520	748	688
521	749	686
522	750	684
523	751	683
524	753	681
525	753	679
526	754	677
527	756	676
528	757	674
529	758	672
530	759	670
531	760	669
532	761	667
533	762	665
534	763	663
535	764	661
536	765	659
537	766	658
538	767	656
539	768	654
540	769	653
541	771	651
542	772	649
543	773	648
544	774	646
545	775	644
546	776	642
547	777	641
548	778	639
549	780	638
550	781	636
551	782	635
552	783	633
553	785	632
554	786	630
555	788	629
556	789	627
557	790	626
558	791	624
559	793	623
560	794	621
561	796	620
562	797	619
563	798	617
564	800	616
565	801	614
566	802	613
567	804	611
568	806	610
569	807	609
570	809	607
571	810	606
572	811	604
573	813	603
574	815	602
575	816	601
576	817	599
577	819	597
578	820	596
579	821	595
580	822	593
581	824	591
582	825	590
583	826	588
584	827	587
585	828	585
586	829	583
587	831	582
588	832	580
589	833	579
590	834	577
591	835	575
592	836	574
593	837	572
594	838	570
595	840	569
596	841	568
597	842	566
598	843	564
599	844	562
600	845	561
601	846	559
602	848	558
603	849	556
604	850	555
605	851	553
606	852	552
607	853	550
608	854	548
609	855	547
610	856	545
611	857	543
612	859	542
613	860	540
614	861	539
615	862	537
616	863	536
617	864	534
618	865	532
619	866	531
620	868	529
621	870	529
622	872	527
623	873	526
624	875	525
625	876	523
626	877	522
627	879	520
628	880	519
629	881	517
630	882	516
631	883	514
632	885	513
633	886	511
634	887	510
635	888	508
636	891	507
637	892	506
638	893	504
639	894	503
640	895	501
641	896	500
642	897	498
643	899	496
644	900	495
645	901	493
646	902	492
647	903	490
648	904	489
649	905	487
650	906	486
651	907	484
652	908	482
653	909	481
654	910	479
655	911	477
656	912	476
657	913	474
658	915	473
659	916	472
660	917	470
661	919	469
662	920	467
663	921	466
664	922	464
665	923	463
666	925	461
667	927	460
668	928	459
669	929	457
670	930	456
671	931	454
672	933	453
673	934	451
674	935	450
675	936	448
676	937	447
677	938	445
678	939	444
679	940	442
680	941	441
681	942	439
682	943	438
683	944	436
684	946	435
685	947	433
686	948	432
687	949	430
688	950	429
689	951	427
690	952	425
691	953	424
692	954	422
693	955	421
694	956	419
695	958	418
696	959	417
697	961	415
698	962	414
699	963	413
700	965	411
701	966	410
702	968	409
703	969	407
704	970	406
705	971	404
706	973	403
707	974	401
708	976	400
709	977	399
710	978	397
711	980	396
712	981	395
713	982	393
714	984	392
715	985	390
716	986	389
717	988	388
718	989	386
719	991	385
720	992	383
721	993	382
722	994	381
723	996	379
724	997	378
725	998	376
726	999	375
727	1000	373
728	1002	372
729	1003	371
730	1004	369
731	1005	368
732	1007	366
733	1008	365
734	1009	363
735	1010	362
736	1011	360
737	1013	359
738	1014	358
739	1015	356
740	1017	355
741	1018	354
742	1019	352
743	1021	351
744	1022	350
745	1024	348
746	1025	347
747	1026	345
748	1027	344
749	1028	342
750	1030	341
751	1031	340
752	1032	338
753	1034	337
754	1035	336
755	1036	334
756	1038	333
757	1039	331
758	1040	330
759	1041	328
760	1042	327
761	1044	326
762	1045	324
763	1046	323
764	1048	321
765	1049	320
766	1051	319
767	1052	317
768	1053	316
769	1054	314
770	1055	313
771	1056	311
772	1057	310
773	1058	309
774	1059	307
775	1061	306
776	1062	304
777	1063	303
778	1064	302
779	1066	300
780	1067	299
781	1068	297
782	1069	296
783	1071	295
784	1072	293
785	1073	292
786	1074	290
787	1077	289
788	1078	288
789	1079	286
790	1080	285
791	1081	284
792	1082	282
793	1084	281
794	1085	279
795	1086	278
796	1087	277
797	1089	275
798	1090	274
799	1092	273
800	1093	271
801	1094	270
802	1095	268
803	1096	267
804	1098	266
805	1099	264
806	1100	263
807	1101	261
808	1102	260
809	1104	258
810	1105	257
811	1106	256
812	1107	254
813	1108	253
814	1109	251
815	1110	250
816	1111	249
817	1112	247
818	1114	246
819	1115	244
820	1116	243
821	1117	241
822	1118	240
823	1119	239
824	1120	237
825	1121	236
826	1122	234
827	1124	233
828	1125	232
829	1126	230
830	1127	229
831	1129	227
832	1130	226
833	1131	225
834	1132	223
835	1133	222
836	1134	220
837	1135	219
838	1136	218
839	1137	216
840	1138	215
841	1139	213
842	1140	212
843	1142	211
844	1143	209
845	1144	208
846	1145	206
847	1147	205
848	1148	204
849	1149	202
850	1151	201
851	1152	200
852	1153	198
853	1155	197
854	1156	196
855	1157	194
856	1159	193
857	1160	192
858	1161	190
859	1162	189
860	1163	187
861	1165	186
862	1166	185
863	1167	183
864	1169	182
865	1170	181
866	1171	179
867	1173	178
868	1174	177
869	1175	175
870	1177	174
871	1178	173
872	1180	171
873	1181	170
874	1182	168
875	1184	167
876	1185	166
877	1187	165
878	1188	163
879	1190	162
880	1191	160
881	1193	159
882	1194	158
883	1195	156
884	1196	155
885	1198	154
886	1199	152
887	1200	151
888	1201	150
889	1203	148
890	1204	147
891	1206	146
892	1207	144
893	1208	143
894	1209	141
895	1211	140
896	1212	139
897	1213	137
898	1214	136
899	1216	135
900	1217	133
901	1218	132
902	1219	131
903	1220	129
904	1221	128
905	1222	126
906	1224	125
907	1225	124
908	1226	122
909	1227	121
910	1228	119
911	1229	118
912	1230	117
913	1231	115
914	1232	114
915	1234	113
916	1235	111
917	1236	110
918	1236	109
919	1238	107
920	1239	106
921	1240	104
922	1241	103
923	1242	102
924	1243	100
925	1244	99
926	1245	98
927	1246	96
928	1247	95
929	1249	94
930	1250	92
931	1251	91
932	1252	89
933	1254	88
934	1255	87
935	1256	85
936	1257	84
937	1258	83
938	1259	81
939	1260	80
940	1261	79
941	1263	77
942	1264	76
943	1265	75
944	1266	73
945	1267	72
946	1268	71
947	1269	69
948	1270	68
949	1271	66
950	1272	65
951	1273	64
952	1274	62
953	1275	61
954	1276	60
955	1278	58
956	1279	57
957	1280	56
958	1282	54
959	1283	53
960	1284	52
961	1285	50
962	1286	49
963	1288	48
964	1289	46
965	1290	45
966	1291	44
967	1292	42
968	1294	41
969	1295	40
970	1296	38
971	1297	37
972	1298	36
973	1299	34
974	1301	33
975	1302	32
976	1303	30
977	1304	29
978	1305	28
979	1306	26
980	1308	25
981	1309	24
982	1310	22
983	1311	21
984	1312	19
985	1313	18
986	1314	17
987	1315	15
988	1317	14
989	1318	13
990	1319	11
991	1320	10
992	1321	9
993	1322	7
994	1323	6
995	1324	5
996	1325	3
997	1326	2
998	1327	1
999	1328	0
